Loaded expectmax lib for 2048: /cluster/home/it_stu9/2048-api/game2048/expectimax/bin/2048.so
score: 2048	score: 2048	score: 2048	score: 1024	score: 2048	score: 2048	score: 2048	score: 512	score: 1024	score: 1024	score: 1024	score: 2048	score: 2048	score: 2048	score: 256	score: 2048	score: 2048	score: 1024	#0 	 loss:0.721 	 acc:0.663
score: 1024	#1 	 loss:0.716 	 acc:0.662
score: 2048	#2 	 loss:0.714 	 acc:0.661
score: 2048	#3 	 loss:0.714 	 acc:0.664
score: 2048	#4 	 loss:0.707 	 acc:0.666
score: 2048	#5 	 loss:0.708 	 acc:0.666
score: 4096	#6 	 loss:0.709 	 acc:0.663
score: 2048	#7 	 loss:0.710 	 acc:0.663
score: 512	#8 	 loss:0.710 	 acc:0.664
score: 1024	#9 	 loss:0.703 	 acc:0.670
score: 2048	#10 	 loss:0.701 	 acc:0.668
score: 2048	#11 	 loss:0.702 	 acc:0.668
score: 2048	#12 	 loss:0.700 	 acc:0.668
score: 2048	#13 	 loss:0.702 	 acc:0.668
score: 2048	#14 	 loss:0.700 	 acc:0.671
score: 4096	#15 	 loss:0.690 	 acc:0.675
score: 1024	#16 	 loss:0.700 	 acc:0.672
score: 4096	#17 	 loss:0.696 	 acc:0.669
score: 512	#18 	 loss:0.692 	 acc:0.676
score: 1024	#19 	 loss:0.691 	 acc:0.675
score: 2048	#20 	 loss:0.686 	 acc:0.677
score: 2048	#21 	 loss:0.688 	 acc:0.677
score: 2048	#22 	 loss:0.686 	 acc:0.675
score: 2048	#23 	 loss:0.677 	 acc:0.679
score: 4096	#24 	 loss:0.686 	 acc:0.680
score: 2048	#25 	 loss:0.678 	 acc:0.681
score: 512	#26 	 loss:0.683 	 acc:0.679
score: 4096	#27 	 loss:0.690 	 acc:0.674
score: 1024	#28 	 loss:0.687 	 acc:0.676
score: 1024	#29 	 loss:0.680 	 acc:0.679
score: 1024	#30 	 loss:0.680 	 acc:0.679
score: 2048	#31 	 loss:0.678 	 acc:0.681
score: 4096	#32 	 loss:0.682 	 acc:0.682
score: 4096	#33 	 loss:0.680 	 acc:0.682
score: 1024	#34 	 loss:0.680 	 acc:0.678
score: 1024	#35 	 loss:0.676 	 acc:0.684
score: 2048	#36 	 loss:0.673 	 acc:0.681
score: 4096	#37 	 loss:0.671 	 acc:0.684
score: 2048	#38 	 loss:0.685 	 acc:0.679
score: 2048	#39 	 loss:0.679 	 acc:0.682
score: 2048	#40 	 loss:0.672 	 acc:0.684
score: 1024	#41 	 loss:0.678 	 acc:0.677
score: 2048	#42 	 loss:0.674 	 acc:0.682
score: 2048	#43 	 loss:0.677 	 acc:0.679
score: 4096	#44 	 loss:0.681 	 acc:0.681
score: 512	#45 	 loss:0.672 	 acc:0.681
score: 1024	#46 	 loss:0.664 	 acc:0.686
score: 2048	#47 	 loss:0.676 	 acc:0.680
score: 512	#48 	 loss:0.673 	 acc:0.681
score: 4096	#49 	 loss:0.665 	 acc:0.685
score: 2048	#50 	 loss:0.672 	 acc:0.686
score: 1024	#51 	 loss:0.678 	 acc:0.677
score: 1024	#52 	 loss:0.673 	 acc:0.683
score: 1024	#53 	 loss:0.667 	 acc:0.685
score: 4096	#54 	 loss:0.674 	 acc:0.681
score: 2048	#55 	 loss:0.672 	 acc:0.684
score: 2048	#56 	 loss:0.675 	 acc:0.681
score: 512	#57 	 loss:0.667 	 acc:0.683
score: 512	#58 	 loss:0.673 	 acc:0.679
score: 2048	#59 	 loss:0.678 	 acc:0.678
score: 4096	#60 	 loss:0.674 	 acc:0.682
score: 2048	#61 	 loss:0.667 	 acc:0.692
